,MAL_ID,Genres,Type,Episodes,Studios,Rating,Start_year,Start_season,Score,range_episodes,Genres_Split,Studios_Split
1972,2154,"Action, Adventure, Psychological, Supernatural",Movie,1,Studio 4°C,R - 17+ (violence & profanity),2006,Fall,7.98,[1 - 13],"['Action', 'Adventure', 'Psychological', 'Supernatural']",['Studio4°C']
1973,2155,"Harem, Romance, School",TV,13,Artland,PG-13 - Teens 13 or older,2007,Spring,6.21,[13 - 25],"['Harem', 'Romance', 'School']",['Artland']
1974,2156,"Action, Fantasy, Game",TV,52,TMS Entertainment,PG - Children,2007,Spring,6.32,[49 - 61],"['Action', 'Fantasy', 'Game']",['TMSEntertainment']
1975,2157,"Mecha, Sci-Fi",TV,13,Actas,PG-13 - Teens 13 or older,2007,Spring,6.9,[13 - 25],"['Mecha', 'Sci-Fi']",['Actas']
1976,2158,"Action, Drama, Military, Sci-Fi, Space",TV,24,"Tokyo Kids, Minami Machi Bugyousho",PG-13 - Teens 13 or older,2007,Spring,7.92,[13 - 25],"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","['TokyoKids', 'MinamiMachiBugyousho']"
1977,2159,"Comedy, Seinen, Sports",TV,25,A-1 Pictures,PG-13 - Teens 13 or older,2007,Spring,7.95,[25 - 37],"['Comedy', 'Seinen', 'Sports']",['A-1Pictures']
1978,2161,"Action, Mystery, Super Power",TV,13,Bones,PG-13 - Teens 13 or older,2007,Spring,6.65,[13 - 25],"['Action', 'Mystery', 'SuperPower']",['Bones']
1979,2162,"Adventure, Historical, Shounen",TV,25,Picture Magic,PG-13 - Teens 13 or older,2007,Spring,6.32,[25 - 37],"['Adventure', 'Historical', 'Shounen']",['PictureMagic']
1980,2163,"Action, Ecchi, Comedy",OVA,3,Studio Fantasia,R+ - Mild Nudity,2007,Spring,5.97,[1 - 13],"['Action', 'Ecchi', 'Comedy']",['StudioFantasia']
1981,2164,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,Madhouse,G - All Ages,2007,Spring,8.09,[25 - 37],"['Adventure', 'Comedy', 'Drama', 'Mystery', 'Sci-Fi']",['Madhouse']
1982,2165,"Comedy, Horror, Fantasy",TV,100,Toei Animation,G - All Ages,2007,Spring,6.93,[97 - 109],"['Comedy', 'Horror', 'Fantasy']",['ToeiAnimation']
1983,2166,"Slice of Life, Comedy",TV,12,Remic,PG-13 - Teens 13 or older,2007,Summer,6.79,[1 - 13],"['SliceofLife', 'Comedy']",['Remic']
1984,2167,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,Kyoto Animation,PG-13 - Teens 13 or older,2007,Fall,8.07,[13 - 25],"['Comedy', 'Drama', 'Romance', 'School', 'SliceofLife', 'Supernatural']",['KyotoAnimation']
1985,2168,"Adventure, Comedy, Supernatural",OVA,6,AIC,PG-13 - Teens 13 or older,2007,Spring,6.33,[1 - 13],"['Adventure', 'Comedy', 'Supernatural']",['AIC']
1986,2169,"Action, Military, Sci-Fi, Shoujo Ai",OVA,3,PPM,R - 17+ (violence & profanity),2007,Spring,5.37,[1 - 13],"['Action', 'Military', 'Sci-Fi', 'ShoujoAi']",['PPM']
1987,2170,"Action, Mecha, Romance, Sci-Fi, Super Power, Supernatural",OVA,2,Satelight,R+ - Mild Nudity,2007,Spring,7.08,[1 - 13],"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'SuperPower', 'Supernatural']",['Satelight']
1988,2171,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,TMS Entertainment,PG-13 - Teens 13 or older,2007,Spring,7.48,[1 - 13],"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",['TMSEntertainment']
1991,2174,"Action, Adventure, Martial Arts, Romance",Movie,1,Toei Animation,R - 17+ (violence & profanity),2007,Spring,7.57,[1 - 13],"['Action', 'Adventure', 'MartialArts', 'Romance']",['ToeiAnimation']
1992,2175,"Adventure, Drama, Fantasy",Movie,1,Shaft,R - 17+ (violence & profanity),2007,Spring,7.71,[1 - 13],"['Adventure', 'Drama', 'Fantasy']",['Shaft']
1993,2176,"Action, Mecha, Sci-Fi, Super Power",Movie,1,"Gonzo, Asread",PG-13 - Teens 13 or older,2007,Spring,7.02,[1 - 13],"['Action', 'Mecha', 'Sci-Fi', 'SuperPower']","['Gonzo', 'Asread']"
1994,2178,"Action, Horror, Sci-Fi",Movie,1,Madhouse,R - 17+ (violence & profanity),2007,Winter,6.75,[1 - 13],"['Action', 'Horror', 'Sci-Fi']",['Madhouse']
1995,2179,"Drama, Romance, School",OVA,2,Studio Pierrot,PG-13 - Teens 13 or older,1999,Spring,6.12,[1 - 13],"['Drama', 'Romance', 'School']",['StudioPierrot']
1996,2180,"Slice of Life, Comedy, Sports, Romance, School, Shoujo",OVA,5,Youmex,PG-13 - Teens 13 or older,1991,Spring,6.56,[1 - 13],"['SliceofLife', 'Comedy', 'Sports', 'Romance', 'School', 'Shoujo']",['Youmex']
1998,2182,"Sci-Fi, Fantasy, Mecha",OVA,1,APPP,PG-13 - Teens 13 or older,1987,Summer,7.28,[1 - 13],"['Sci-Fi', 'Fantasy', 'Mecha']",['APPP']
1999,2183,"Comedy, Shounen, Sports",OVA,2,"Rikuentai, Nikkatsu",PG-13 - Teens 13 or older,1997,Winter,5.84,[1 - 13],"['Comedy', 'Shounen', 'Sports']","['Rikuentai', 'Nikkatsu']"
2000,2185,"Action, Adventure, Fantasy, Hentai",OVA,2,Arms,Rx - Hentai,2002,Summer,5.83,[1 - 13],"['Action', 'Adventure', 'Fantasy', 'Hentai']",['Arms']
2004,2189,"Hentai, School, Supernatural",OVA,6,Arms,Rx - Hentai,2001,Winter,6.12,[1 - 13],"['Hentai', 'School', 'Supernatural']",['Arms']
2007,2193,"Adventure, Comedy, Historical, Drama, Romance, Fantasy",Special,9,Madhouse,PG-13 - Teens 13 or older,2007,Winter,7.28,[1 - 13],"['Adventure', 'Comedy', 'Historical', 'Drama', 'Romance', 'Fantasy']",['Madhouse']
2010,2196,"Action, Adventure, Fantasy, Magic, Mecha, Sci-Fi",OVA,1,Kaname Productions,G - All Ages,1985,Winter,6.21,[1 - 13],"['Action', 'Adventure', 'Fantasy', 'Magic', 'Mecha', 'Sci-Fi']",['KanameProductions']
2012,2199,"Adventure, Drama, Fantasy",Movie,1,"Sunrise, Sanrio",PG-13 - Teens 13 or older,1978,Winter,7.07,[1 - 13],"['Adventure', 'Drama', 'Fantasy']","['Sunrise', 'Sanrio']"
2013,2200,"Action, Mecha, Drama, Sci-Fi, Shounen",TV,23,Sunrise,PG-13 - Teens 13 or older,1977,Fall,6.89,[13 - 25],"['Action', 'Mecha', 'Drama', 'Sci-Fi', 'Shounen']",['Sunrise']
2014,2201,"Action, Adventure, Kids, Drama, Fantasy",Movie,1,OLM,PG - Children,2006,Summer,6.82,[1 - 13],"['Action', 'Adventure', 'Kids', 'Drama', 'Fantasy']",['OLM']
2015,2202,"Action, Adventure, Drama, Sci-Fi, Space",Movie,1,Toei Animation,PG-13 - Teens 13 or older,1982,Summer,7.49,[1 - 13],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Space']",['ToeiAnimation']
2016,2203,"Action, Adventure, Drama, Sci-Fi, Space",TV,22,Toei Animation,PG-13 - Teens 13 or older,1982,Fall,7.4,[13 - 25],"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Space']",['ToeiAnimation']
2017,2204,"Mystery, Horror, Thriller, Shounen",TV,26,TMS Entertainment,R - 17+ (violence & profanity),1999,Fall,7.39,[25 - 37],"['Mystery', 'Horror', 'Thriller', 'Shounen']",['TMSEntertainment']
2018,2205,"Action, Comedy, Mecha, Sci-Fi, Shounen",OVA,1,Gonzo,PG-13 - Teens 13 or older,2007,Winter,6.79,[1 - 13],"['Action', 'Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",['Gonzo']
2019,2206,"Sci-Fi, Comedy",OVA,1,Madhouse,PG-13 - Teens 13 or older,2002,Spring,6.95,[1 - 13],"['Sci-Fi', 'Comedy']",['Madhouse']
2020,2207,"Adventure, Comedy, Fantasy",Movie,1,Nippon Animation,PG-13 - Teens 13 or older,1996,Spring,6.46,[1 - 13],"['Adventure', 'Comedy', 'Fantasy']",['NipponAnimation']
2021,2208,"Drama, Hentai, Romance",OVA,2,Arms,Rx - Hentai,2003,Spring,5.73,[1 - 13],"['Drama', 'Hentai', 'Romance']",['Arms']
2022,2209,"Action, Martial Arts, Hentai",OVA,3,Studio Jam,Rx - Hentai,2004,Winter,5.7,[1 - 13],"['Action', 'MartialArts', 'Hentai']",['StudioJam']
2025,2212,"Action, Sci-Fi, Mecha",Special,1,Gonzo,PG-13 - Teens 13 or older,2007,Winter,6.71,[1 - 13],"['Action', 'Sci-Fi', 'Mecha']",['Gonzo']
2026,2213,Drama,TV,61,Tezuka Productions,PG-13 - Teens 13 or older,2004,Fall,7.62,[61 - 73],['Drama'],['TezukaProductions']
2027,2214,"Action, Drama",TV,17,Tezuka Productions,PG-13 - Teens 13 or older,2006,Spring,7.59,[13 - 25],"['Action', 'Drama']",['TezukaProductions']
2028,2215,"Mecha, Sci-Fi",TV,26,Brain's Base,PG-13 - Teens 13 or older,2007,Spring,6.87,[25 - 37],"['Mecha', 'Sci-Fi']","[""Brain'sBase""]"
2029,2216,"Action, Historical, Psychological, Drama, Martial Arts, Samurai, Seinen",TV,12,Madhouse,R+ - Mild Nudity,2007,Summer,7.41,[1 - 13],"['Action', 'Historical', 'Psychological', 'Drama', 'MartialArts', 'Samurai', 'Seinen']",['Madhouse']
2030,2217,"Sci-Fi, Harem, Comedy, Romance, Ecchi",Special,1,Production Reed,PG-13 - Teens 13 or older,2001,Winter,6.74,[1 - 13],"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi']",['ProductionReed']
2032,2219,"Dementia, Psychological, Drama, Romance, Shoujo, Shounen Ai",OVA,1,AIC,PG-13 - Teens 13 or older,1990,Spring,5.13,[1 - 13],"['Dementia', 'Psychological', 'Drama', 'Romance', 'Shoujo', 'ShounenAi']",['AIC']
2033,2220,"Drama, Shounen Ai",OVA,1,AIC,PG-13 - Teens 13 or older,1989,Fall,5.55,[1 - 13],"['Drama', 'ShounenAi']",['AIC']
2034,2221,"Comedy, Romance, Shoujo",TV,42,Toei Animation,PG - Children,1983,Spring,6.72,[37 - 49],"['Comedy', 'Romance', 'Shoujo']",['ToeiAnimation']
2035,2222,"Sci-Fi, Slice of Life, Comedy, Shounen",TV,243,Toei Animation,PG-13 - Teens 13 or older,1981,Spring,7.16,[241 - 253],"['Sci-Fi', 'SliceofLife', 'Comedy', 'Shounen']",['ToeiAnimation']
2036,2223,"Slice of Life, Fantasy",TV,52,Toei Animation,G - All Ages,1986,Winter,6.8,[49 - 61],"['SliceofLife', 'Fantasy']",['ToeiAnimation']
2037,2224,"Music, Romance, Shoujo, Sports",TV,19,Tatsunoko Production,PG - Children,1986,Spring,6.6,[13 - 25],"['Music', 'Romance', 'Shoujo', 'Sports']",['TatsunokoProduction']
2038,2225,"Slice of Life, Historical, Drama",TV,52,Nippon Animation,PG - Children,1974,Winter,7.28,[49 - 61],"['SliceofLife', 'Historical', 'Drama']",['NipponAnimation']
2039,2226,"Fantasy, Kids",TV,23,"Nippon Animation, Shaft",G - All Ages,1984,Fall,6.19,[13 - 25],"['Fantasy', 'Kids']","['NipponAnimation', 'Shaft']"
2040,2227,"Historical, Drama, Shoujo",TV,21,Toei Animation,G - All Ages,1987,Fall,7.51,[13 - 25],"['Historical', 'Drama', 'Shoujo']",['ToeiAnimation']
2041,2228,"Comedy, Sports",TV,47,Animation 21,PG - Children,1991,Fall,7.28,[37 - 49],"['Comedy', 'Sports']",['Animation21']
2042,2229,"Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen",TV,46,Toei Animation,G - All Ages,1991,Fall,7.63,[37 - 49],"['Adventure', 'Comedy', 'Demons', 'Magic', 'MartialArts', 'Fantasy', 'Shounen']",['ToeiAnimation']
2043,2230,"Adventure, Drama, Magic, Shoujo",TV,50,Toei Animation,G - All Ages,1979,Winter,6.85,[49 - 61],"['Adventure', 'Drama', 'Magic', 'Shoujo']",['ToeiAnimation']
2048,2235,"Drama, Psychological, Sci-Fi",Special,1,Studio Rikka,PG-13 - Teens 13 or older,2002,Fall,6.81,[1 - 13],"['Drama', 'Psychological', 'Sci-Fi']",['StudioRikka']
2049,2236,"Adventure, Drama, Romance, Sci-Fi",Movie,1,Madhouse,G - All Ages,2006,Summer,8.2,[1 - 13],"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Madhouse']
2050,2237,"Comedy, Mystery",Special,1,Nomad,PG-13 - Teens 13 or older,2006,Spring,6.48,[1 - 13],"['Comedy', 'Mystery']",['Nomad']
2051,2238,"Drama, Historical, Romance, Samurai, Yaoi",OVA,3,Venet,R+ - Mild Nudity,2007,Winter,7.53,[1 - 13],"['Drama', 'Historical', 'Romance', 'Samurai', 'Yaoi']",['Venet']
2053,2240,Hentai,OVA,2,J.C.Staff,Rx - Hentai,1994,Fall,4.83,[1 - 13],['Hentai'],['J.C.Staff']
2055,2244,"Comedy, Historical",TV,12,TNK,PG-13 - Teens 13 or older,2006,Winter,6.06,[1 - 13],"['Comedy', 'Historical']",['TNK']
2056,2245,"Romance, Drama, Sci-Fi",TV,12,Sunrise,PG-13 - Teens 13 or older,1999,Fall,6.1,[1 - 13],"['Romance', 'Drama', 'Sci-Fi']",['Sunrise']
2057,2246,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen",TV,12,Toei Animation,R - 17+ (violence & profanity),2007,Summer,8.42,[1 - 13],"['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']",['ToeiAnimation']
2058,2248,"Action, Comedy, Sports, Martial Arts, Fantasy, Shounen",Special,1,Studio Pierrot,PG-13 - Teens 13 or older,2004,Summer,6.87,[1 - 13],"['Action', 'Comedy', 'Sports', 'MartialArts', 'Fantasy', 'Shounen']",['StudioPierrot']
2059,2249,"Action, Adventure, Fantasy",OVA,1,Toei Animation,R - 17+ (violence & profanity),1986,Summer,5.49,[1 - 13],"['Action', 'Adventure', 'Fantasy']",['ToeiAnimation']
2061,2251,"Action, Comedy, Historical, Mystery, Supernatural",TV,13,Brain's Base,R - 17+ (violence & profanity),2007,Summer,8.42,[13 - 25],"['Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural']","[""Brain'sBase""]"
2062,2252,"Action, Horror, Demons, Supernatural",TV,39,Toei Animation,R - 17+ (violence & profanity),1972,Summer,6.45,[37 - 49],"['Action', 'Horror', 'Demons', 'Supernatural']",['ToeiAnimation']
2063,2253,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,92,Toei Animation,PG-13 - Teens 13 or older,1972,Winter,7.26,[85 - 97],"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",['ToeiAnimation']
2064,2254,"Military, Sci-Fi, Mecha, Shounen",TV,50,Sunrise,PG-13 - Teens 13 or older,1982,Winter,7.22,[49 - 61],"['Military', 'Sci-Fi', 'Mecha', 'Shounen']",['Sunrise']
2065,2255,"Action, Sci-Fi, Mecha",TV,38,Production Reed,PG-13 - Teens 13 or older,1985,Spring,6.65,[37 - 49],"['Action', 'Sci-Fi', 'Mecha']",['ProductionReed']
2066,2256,"Action, Drama, Mecha",OVA,1,Production Reed,PG-13 - Teens 13 or older,1986,Spring,6.28,[1 - 13],"['Action', 'Drama', 'Mecha']",['ProductionReed']
2067,2257,"Mecha, Military, Drama, Sci-Fi, Shounen",TV,75,Sunrise,PG-13 - Teens 13 or older,1981,Fall,7.33,[73 - 85],"['Mecha', 'Military', 'Drama', 'Sci-Fi', 'Shounen']",['Sunrise']
2068,2258,"Comedy, Mecha, Sci-Fi, Shounen",Movie,1,Sunrise,PG-13 - Teens 13 or older,1983,Summer,5.47,[1 - 13],"['Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",['Sunrise']
2069,2259,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,51,Studio Comet,PG - Children,2001,Spring,6.79,[49 - 61],"['Comedy', 'Fantasy', 'Magic', 'Romance', 'School', 'Shoujo']",['StudioComet']
2070,2260,"Ecchi, Mecha, Comedy, Sci-Fi",OVA,5,Studio Fantasia,PG-13 - Teens 13 or older,2005,Spring,6.22,[1 - 13],"['Ecchi', 'Mecha', 'Comedy', 'Sci-Fi']",['StudioFantasia']
2072,2262,"Action, Sci-Fi, Horror, Police, Supernatural",OVA,1,Phoenix Entertainment,R - 17+ (violence & profanity),2000,Fall,5.15,[1 - 13],"['Action', 'Sci-Fi', 'Horror', 'Police', 'Supernatural']",['PhoenixEntertainment']
2073,2263,"Adventure, Comedy, Sci-Fi, Shounen",OVA,2,Studio Pierrot,PG - Children,1996,Winter,6.82,[1 - 13],"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",['StudioPierrot']
2074,2264,"Adventure, Fantasy",Movie,1,Tezuka Productions,G - All Ages,1997,Summer,7.09,[1 - 13],"['Adventure', 'Fantasy']",['TezukaProductions']
2076,2267,"Mecha, Mystery",OVA,1,Gonzo,R - 17+ (violence & profanity),2007,Summer,6.39,[1 - 13],"['Mecha', 'Mystery']",['Gonzo']
2077,2269,"Action, Space, Mecha, Military, Sci-Fi",Special,3,Sunrise,R - 17+ (violence & profanity),2004,Summer,7.31,[1 - 13],"['Action', 'Space', 'Mecha', 'Military', 'Sci-Fi']",['Sunrise']
2078,2272,"Magic, Shoujo",OVA,1,Production Reed,G - All Ages,1985,Summer,6.52,[1 - 13],"['Magic', 'Shoujo']",['ProductionReed']
2079,2273,"Action, Space, Mecha, Military, Drama, Sci-Fi",Movie,1,Sunrise,PG-13 - Teens 13 or older,1998,Summer,7.81,[1 - 13],"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",['Sunrise']
2080,2274,Music,Music,1,animate Film,G - All Ages,1994,Fall,6.86,[1 - 13],['Music'],['animateFilm']
2083,2277,"Adventure, Comedy, Magic, Fantasy",ONA,24,AIC,PG-13 - Teens 13 or older,2001,Fall,6.39,[13 - 25],"['Adventure', 'Comedy', 'Magic', 'Fantasy']",['AIC']
2084,2278,"Comedy, Magic",OVA,1,AIC,PG-13 - Teens 13 or older,2001,Fall,5.62,[1 - 13],"['Comedy', 'Magic']",['AIC']
2085,2279,"Adventure, Fantasy, Kids",Movie,1,Toei Animation,G - All Ages,1969,Winter,7.01,[1 - 13],"['Adventure', 'Fantasy', 'Kids']",['ToeiAnimation']
2087,2281,"Adventure, Comedy, Fantasy, Mystery, Sci-Fi, Shounen",TV,39,Group TAC,PG - Children,1998,Fall,6.31,[37 - 49],"['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi', 'Shounen']",['GroupTAC']
2088,2282,Historical,TV,26,Tezuka Productions,PG - Children,1997,Spring,6.54,[25 - 37],['Historical'],['TezukaProductions']
2089,2283,"Action, Martial Arts, Mecha, Sci-Fi, Shounen, Sports",TV,49,Tokyo Movie Shinsha,PG-13 - Teens 13 or older,1994,Spring,7.02,[49 - 61],"['Action', 'MartialArts', 'Mecha', 'Sci-Fi', 'Shounen', 'Sports']",['TokyoMovieShinsha']
2090,2284,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",TV,39,Gallop,PG - Children,2000,Spring,6.55,[37 - 49],"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",['Gallop']
2091,2285,"Action, Adventure, Kids, Mecha, Sci-Fi, Shounen",TV,40,Xebec,PG - Children,2005,Winter,6.33,[37 - 49],"['Action', 'Adventure', 'Kids', 'Mecha', 'Sci-Fi', 'Shounen']",['Xebec']
2092,2286,"Adventure, Fantasy",Movie,1,Tokyo Movie Shinsha,G - All Ages,1989,Summer,7.25,[1 - 13],"['Adventure', 'Fantasy']",['TokyoMovieShinsha']
2093,2287,"Game, Adventure, Comedy, Fantasy, Shounen",TV,26,Group TAC,G - All Ages,2001,Winter,6.08,[25 - 37],"['Game', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",['GroupTAC']
2094,2288,"Adventure, Mecha, Sci-Fi, Shoujo",TV,26,Production Reed,PG-13 - Teens 13 or older,1998,Spring,6.56,[25 - 37],"['Adventure', 'Mecha', 'Sci-Fi', 'Shoujo']",['ProductionReed']
2095,2289,"Adventure, Comedy, Mecha, Sci-Fi",Movie,1,Production I.G,PG-13 - Teens 13 or older,1999,Summer,6.67,[1 - 13],"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",['ProductionI.G']
2097,2291,"Action, Sci-Fi, Ecchi, Mecha",OVA,3,AIC,R+ - Mild Nudity,1985,Fall,6.07,[1 - 13],"['Action', 'Sci-Fi', 'Ecchi', 'Mecha']",['AIC']
2098,2292,"Action, Adventure, Sci-Fi",OVA,6,"AIC, Darts",R - 17+ (violence & profanity),1990,Summer,5.82,[1 - 13],"['Action', 'Adventure', 'Sci-Fi']","['AIC', 'Darts']"
2099,2293,"Action, Sci-Fi, Horror, Super Power",Movie,1,Production Reed,R+ - Mild Nudity,1986,Fall,6.26,[1 - 13],"['Action', 'Sci-Fi', 'Horror', 'SuperPower']",['ProductionReed']
2100,2294,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi",Special,4,Sunrise,R - 17+ (violence & profanity),2006,Spring,7.28,[1 - 13],"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",['Sunrise']
2101,2298,"Action, Drama, Mecha, Sci-Fi",Special,1,Sunrise,PG-13 - Teens 13 or older,2004,Winter,7.06,[1 - 13],"['Action', 'Drama', 'Mecha', 'Sci-Fi']",['Sunrise']
2102,2299,"Action, Mecha, Sci-Fi, Shounen",OVA,1,Tatsunoko Production,R - 17+ (violence & profanity),1999,Fall,6.59,[1 - 13],"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",['TatsunokoProduction']
2105,2302,"Mecha, Parody, Sci-Fi",Special,3,Sunrise,PG - Children,1988,Winter,6.34,[1 - 13],"['Mecha', 'Parody', 'Sci-Fi']",['Sunrise']
2106,2303,"Mecha, Parody, Sci-Fi",OVA,3,Sunrise,PG-13 - Teens 13 or older,1989,Spring,6.27,[1 - 13],"['Mecha', 'Parody', 'Sci-Fi']",['Sunrise']
2107,2304,"Mecha, Parody, Sci-Fi",OVA,2,Sunrise,PG-13 - Teens 13 or older,1990,Summer,6.02,[1 - 13],"['Mecha', 'Parody', 'Sci-Fi']",['Sunrise']
2108,2305,"Mecha, Parody, Sci-Fi",OVA,6,Sunrise,PG-13 - Teens 13 or older,1990,Winter,5.94,[1 - 13],"['Mecha', 'Parody', 'Sci-Fi']",['Sunrise']
2109,2306,"Comedy, Parody, Mecha",OVA,2,Sunrise,PG-13 - Teens 13 or older,1989,Summer,6.39,[1 - 13],"['Comedy', 'Parody', 'Mecha']",['Sunrise']
2110,2307,"Action, Ecchi, Comedy, Mecha",OVA,2,Studio Hibari,R - 17+ (violence & profanity),2004,Spring,6.22,[1 - 13],"['Action', 'Ecchi', 'Comedy', 'Mecha']",['StudioHibari']
2111,2308,"Harem, Historical, Supernatural, Drama, Ecchi, Mecha",TV,13,A.C.G.T.,R+ - Mild Nudity,2005,Winter,5.52,[13 - 25],"['Harem', 'Historical', 'Supernatural', 'Drama', 'Ecchi', 'Mecha']",['A.C.G.T.']
2112,2309,"Comedy, Sci-Fi, Slice of Life, Sports",OVA,1,TMS Entertainment,PG-13 - Teens 13 or older,2004,Summer,6.19,[1 - 13],"['Comedy', 'Sci-Fi', 'SliceofLife', 'Sports']",['TMSEntertainment']
2113,2310,"Mecha, Sci-Fi",OVA,2,Studio Deen,PG-13 - Teens 13 or older,1998,Summer,4.97,[1 - 13],"['Mecha', 'Sci-Fi']",['StudioDeen']
2114,2311,Adventure,Movie,1,Toei Animation,PG - Children,1984,Winter,5.09,[1 - 13],['Adventure'],['ToeiAnimation']
2116,2313,"Adventure, Comedy, Fantasy, Kids",Movie,1,Visual 80,G - All Ages,1992,Summer,7.68,[1 - 13],"['Adventure', 'Comedy', 'Fantasy', 'Kids']",['Visual80']
2117,2314,"Adventure, Drama",Movie,1,Urban Product,G - All Ages,1991,Spring,6.13,[1 - 13],"['Adventure', 'Drama']",['UrbanProduct']
2122,2319,"Action, Adventure, Sci-Fi",OVA,1,Sunrise,PG - Children,2006,Fall,6.48,[1 - 13],"['Action', 'Adventure', 'Sci-Fi']",['Sunrise']
2123,2321,"Action, Sci-Fi, Super Power, Drama, Mecha, Shounen",OVA,7,Phoenix Entertainment,PG-13 - Teens 13 or older,1992,Summer,7.84,[1 - 13],"['Action', 'Sci-Fi', 'SuperPower', 'Drama', 'Mecha', 'Shounen']",['PhoenixEntertainment']
2125,2324,"Action, Demons, Hentai",OVA,3,"Front Line, Studio G-1Neo",Rx - Hentai,2001,Fall,6.34,[1 - 13],"['Action', 'Demons', 'Hentai']","['FrontLine', 'StudioG-1Neo']"
2126,2325,"Adventure, Hentai, Magic, Sci-Fi",OVA,3,Asahi Production,Rx - Hentai,2004,Fall,6.41,[1 - 13],"['Adventure', 'Hentai', 'Magic', 'Sci-Fi']",['AsahiProduction']
2131,2330,"Adventure, Fantasy, Comedy",TV,26,Trans Arts,PG-13 - Teens 13 or older,1999,Fall,7.39,[25 - 37],"['Adventure', 'Fantasy', 'Comedy']",['TransArts']
2132,2331,"Action, Adventure, Sci-Fi, Space",TV,26,TMS Entertainment,G - All Ages,1981,Fall,7.08,[25 - 37],"['Action', 'Adventure', 'Sci-Fi', 'Space']",['TMSEntertainment']
2133,2332,"Action, Adventure, Comedy, Ecchi, Mecha, Military, Romance, Sci-Fi",OVA,1,animate Film,R+ - Mild Nudity,1994,Winter,6.14,[1 - 13],"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Military', 'Romance', 'Sci-Fi']",['animateFilm']
2134,2333,"Adventure, Drama, Historical, Romance",TV,52,Gallop,G - All Ages,1987,Fall,7.11,[49 - 61],"['Adventure', 'Drama', 'Historical', 'Romance']",['Gallop']
2135,2334,"Adventure, Historical, Romance",Movie,1,Gallop,G - All Ages,1989,Winter,6.59,[1 - 13],"['Adventure', 'Historical', 'Romance']",['Gallop']
2136,2335,"Action, Comedy, Fantasy, Martial Arts, Shounen",TV,52,Pastel,PG-13 - Teens 13 or older,1993,Spring,7.13,[49 - 61],"['Action', 'Comedy', 'Fantasy', 'MartialArts', 'Shounen']",['Pastel']
2137,2336,"Game, Comedy, Supernatural, Shounen",Special,1,Studio Pierrot,G - All Ages,2002,Winter,7.32,[1 - 13],"['Game', 'Comedy', 'Supernatural', 'Shounen']",['StudioPierrot']
2138,2337,"Sci-Fi, Adventure, Historical, Drama, Mecha, Shounen",TV,26,Palm Studio,G - All Ages,2004,Spring,7.34,[25 - 37],"['Sci-Fi', 'Adventure', 'Historical', 'Drama', 'Mecha', 'Shounen']",['PalmStudio']
2142,2341,"Action, Demons, Drama, Hentai",OVA,3,Phoenix Entertainment,Rx - Hentai,1987,Winter,6.13,[1 - 13],"['Action', 'Demons', 'Drama', 'Hentai']",['PhoenixEntertainment']
2147,2346,"Action, Dementia, Drama, Horror, Martial Arts, Psychological, Seinen",OVA,1,AIC,R+ - Mild Nudity,2002,Summer,5.71,[1 - 13],"['Action', 'Dementia', 'Drama', 'Horror', 'MartialArts', 'Psychological', 'Seinen']",['AIC']
2151,2351,Hentai,OVA,2,AT-2,Rx - Hentai,2003,Fall,5.39,[1 - 13],['Hentai'],['AT-2']
2154,2354,"Demons, Horror, Sci-Fi, Supernatural",OVA,1,Oh! Production,R+ - Mild Nudity,1987,Fall,7.15,[1 - 13],"['Demons', 'Horror', 'Sci-Fi', 'Supernatural']",['Oh!Production']
