,profile,gender,favorite_anime
7863,Toffeequeen,Female,9253
7865,shiki00,Male,1535']
7866,Alyacat28,Female,1
7867,QueenManie,Female,603
7868,Sasunaru4life,Female,30
7869,belusaku,Female,11061
7872,InsaneAZN22,Male,6336
7874,AhmadKanime,Male,1535
7876,BrightLight,Female,2025
7878,internetotaku,Male,338
7879,Solemnmind,Male,387
7880,Evil_Genius,Male,1
7881,claracristiane,Female,249
7882,Shoop-a-Shoopuf,Female,6547
7885,SniperKnighter,Male,10080
7886,BloodiRose,Female,4181
7888,Ckaos_Inkarnate,Male,5114
7889,raisin-kun,Male,12189
7890,aavilla25,Female,8129
7891,SassyWallflower,Female,28891
7893,clamp-fan,Male,1735
7894,benjaminmustdie,Male,934
7896,IchikuRyoudai,Male,227
7898,JoeAteMyPencil,Male,226
7900,Lithik,Male,5682
7902,hopelongacre,Female,21
7904,BakaMasuta,Male,28851
7905,seyrine,Male,6547
7906,falloutyoli,Female,31043']
7907,Witcher151,Male,1735
7908,WaifuStealer69,Male,2605
7909,GeneralCox,Male,57
7910,SparksOfLogic,Male,934
7911,Ru-chan,Male,4181
7912,sukari,Male,1530
7913,xDaboi,Male,1575
7915,Kia2804,Female,35889
7916,TheNinjAssassin,Male,9253
7918,PerAxelH,Male,9253
7920,thotian,Male,1
7921,Animeindian,Male,9996
7922,coldcoal,Male,1
7923,VanAlex,Male,1698
7924,reizenchuu,Male,918
7925,AdamIsCooool,Male,1535
7926,limith,Male,21939
7932,rskt,Male,5081
7936,hanna93,Female,120
7937,Xedroz07,Male,17074
7938,MinamiKaze,Female,1065
7939,Mousehime,Female,12531
7940,Taylor5wift,Male,16
7941,Simaris,Male,1535
7942,Unfulfilled,Female,66
7943,SlimyRazor,Male,1
7945,ShiningLion,Male,12355
7946,Oblivion_,Male,9253
7947,Annise,Female,98
7948,Nachtwandler_21,Male,4789
7949,madpucca,Male,6347
7950,Efx,Male,226
7951,godzillabrandon,Male,5081
7955,NeoKorean,Male,269
7957,NoytroO,Male,6746']
7958,GBF,Male,2001
7959,_Lucy_,Female,23273
7960,milnivek,Male,245
7961,KellieDee,Female,237
7963,MaeSis,Female,20371
7964,BasT94,Male,918
7965,amphitritie,Female,853
7966,Jopageri,Male,11061
7967,Zeroskye,Male,11433
7968,Orange,Female,11061
7969,KonaKoffee,Female,601
7970,D-ohnuts,Male,19
7971,CatEatYourPizza,Female,28891
7972,xDiablo,Male,13125
7973,Anriee,Male,28851
7974,scarletgirl,Female,21
7975,Antagonizes,Female,1535']
7977,wingar,Male,2966
7978,PoweredByRamen,Female,853
7979,ixWishingx3,Female,4898
7980,Ashiang07,Female,5114
7981,MsCHOCOHOLIC,Female,6045
7982,Karudima,Non-Binary,12189
7984,MasterGhost,Male,10087
7986,anotherAzn,Male,4181
7988,bribrigirl1155,Female,11887
7989,AceC,Male,5114
7990,KimchiMan911,Male,6880
7991,M0hi,Male,10711
7992,Tatsuyasenpai,Male,5114
7994,whatevere5656,Male,3297
7995,AladdinTheMagii,Female,2159
7996,Deagle_zero,Male,44
7999,Alberio,Male,45
8000,VerdantMonkey,Male,5114
8001,Darkfoxzvz_101,Male,1
8002,wkoppin10,Male,889
8003,Evillordexdeath,Male,30
8004,SoulReaverDan,Male,45
8006,DarkerThanDante,Male,30
8009,loafer,Female,16664
8010,Idk2468,Male,30276']
8011,samuel_sfx,Male,32281
8013,Angelo_Moon,Male,6045
8014,Robin0x,Male,34034
8017,Gi_,Female,35851
8020,KitsuneShiro,Female,10408
8022,lordfolcon,Male,30
8026,JaviGBU,Male,27775
8027,satchkat,Male,28725
8028,Mikaru7,Female,6045
8029,Verrato,Male,38000
8034,AniDeMax,Male,263
8036,Gerutoast,Male,13759
8037,161,Male,30
8038,thePineAppleman,Male,9253
8039,KlebMask,Male,6746
8040,FullMetalReimo,Male,22789
8041,Animemayhem,Male,9253
8042,Zero_76,Male,21']
8044,Mountain_Jew,Male,3841
8045,Horseguy,Male,1535
8047,TrumpMD,Male,38101
8053,thumpz99,Male,59
8054,son714,Male,9253
8056,chipathy,Male,19
8057,Hadrianlee,Male,6547
8058,Waahila,Male,28249
8059,agoggeek,Female,1698
8060,Astar,Male,849
8061,ocean_lullaby,Female,14289
8063,waffles4510,Male,4214
8065,ecimir,Male,15199
8066,FinnDevitt,Male,3272
8067,burnsanimal,Male,11061
8068,Eminem2,Male,15225
8070,DreamyGhost,Male,11741
8073,Kaiyate,Male,22535
8074,Yuu_Masuhara,Female,18893
8075,Palkaline,Female,918
8079,sanzx,Male,1535
8080,gotmarth,Male,23847
8081,Kagamihara-chan,Male,35507
8082,Electuslog,Male,5114
8083,Ricky_Ticky_Toe,Male,8525']
8084,SancheRamos,Male,35180
8085,FilipinoRefugee,Male,11757
8086,IKnowBestu,Male,2904
8087,Kaldeane,Male,227
8088,DoomMantia,Male,2921
8089,SinOfSlothKing,Male,9253
8092,User627,Male,23847
8093,KGohan_Kame,Male,4181
8095,IndexCynic,Male,37521
8096,Yomenmyster,Male,23847
8100,seelteam6,Male,30
8101,doctorsonic46,Male,35839
8102,kaze631,Male,18679
8104,Joydeep,Male,1535
8107,Eriaz,Female,10379
8108,D1N0M1NAT0R,Male,245
8109,AnimexGamer54,Male,23847
8112,Savaged_Arthur,Male,9253
8113,roehell,Female,9513
8116,NedStarkMisc,Male,1575
8117,LoanRanger,Male,18679
8121,Nitro-Nito,Male,5081
8124,gensou911,Male,820']
8125,TRoweses,Male,22135
8130,Jawker,Male,226
8131,Firebolt13,Male,813
8132,SirloinDrop,Male,457
8134,dv8zen,Male,72']
8135,Incarcity,Female,1535
8136,AW_AnimeList,Male,32615
8137,T_J_K,Male,6922
8139,Takume,Male,263
8140,Mr_Chosen_One,Male,30831
8141,Thanh-kun,Male,14813
8142,Bernstein,Male,8769
8143,Aerialspace,Male,9253
8144,Hana22,Female,431
8146,TMC2014,Male,10793
8148,br0kenphantasy,Female,4081
8153,SassyRiolu,Male,35760
8154,No____,Male,4181
8156,Seichiroku,Male,6114
8159,NorahBright,Male,32281
8166,AnchientProphet2,Male,1
8169,JoyousAnime,Male,14813
8172,amateur,Male,2921
8173,MentalSyndrome,Male,934
8174,SyntaxMishe,Male,35839
8176,JasonFromAnime,Male,7054
8180,classically-kat,Female,121
8182,bjornicles,Male,31181
8183,Hiriko_Lost,Male,18671
8184,IchukaSasa,Male,30
8190,MikeLeko,Male,20785
8191,HikiNEET021,Male,11887
8192,PJFrEe,Male,37055
8193,jessicoooooooo,Female,38616
8194,Valenthyne,Female,1
8196,StickyWizard,Male,2904
8197,Urbanophiler,Male,4224
8198,henderson1147,Male,5205
8199,Reaper71,Male,32
8200,AnimeAlex5,Male,31240
8201,VelocityWaffles,Male,1698
8202,_Aisu,Male,10087
8203,GianisSenpai,Male,2904
8204,leadzeppelin,Male,9253
8205,CrazyDude9,Male,9253
8206,SamuraiSnap,Male,25835
8208,Elfezen,Male,34662
8209,Redkrimson,Male,9756
8212,Kadano,Male,13271']
8214,infinite_Fiend,Male,2001']
8215,ZeromaxAnima,Male,2921
8216,Drokster,Male,34798
8217,Johan_Liebert_,Male,13125
8220,Matrix1337,Male,457
8222,71,Male,9874
8223,ChargedCoin,Male,23289
8224,M1chieru,Male,2904
8225,Loki0830,Male,934
8228,Jiharo,Male,2924
8229,xFatty,Male,5081
8231,Lord_Enzo,Male,5114
8232,aLooser,Male,32281
8236,EvilByte,Male,2966
8237,Flare77,Male,17074
8238,marsthedandelion,Female,8142
8239,vivi-kun,Female,13125
8240,marc19count,Male,20507
8242,SaikaEternal,Female,19
8245,Lyree,Female,10087
8246,Polyphemus,Non-Binary,32
8248,Yourchinguxd,Male,31933
8250,Ankur17000,Male,1691
8252,Kimurah,Male,25835']
8258,reversereality,Male,6746
8259,Dris,Male,9253
8260,PlaceFantasy,Female,25013
8262,blazkiller123,Male,28851
8263,Dracosine,Male,5081
8265,Tokela,Female,30276
8266,Alpharon,Male,5114
8267,franco90,Male,6211
8268,chelmquist,Male,820
8269,Buruno,Male,30
8271,Madgie,Female,199
8272,Zyukichan,Female,5114
8273,Otaku_Apologizt,Male,4502
8274,tukky12,Male,4181
8275,27lily,Female,5941
8277,tirru,Female,7791
8278,LoonyB,Female,3572
8279,Juu_Go,Female,21
8280,ImaVampire,Male,9989
8281,VincentLaw,Male,24
8282,jeeny-chan,Female,4722
8283,Torii-chan,Female,918
8284,xEternalSnowx,Male,32281
8285,JoeSchulz,Male,857
8288,FaSaad,Male,15359
8290,KimiNiTodoke86,Female,3457
8292,Circos,Male,22135
8293,kennydejavu,Male,355
8294,AoiPlatinum,Male,527
8295,whatamafu,Male,5114
8296,Reee_no,Female,2026
8299,Still-a-Casual,Male,20
8301,PapaRonny,Male,5114
8303,Pockysticks,Female,11757
8304,ItsAllDaijoubu,Male,121
8306,dai-iane-otaku,Female,2112
8308,miher,Male,2904
8310,sumeilove,Female,3731
8311,RelliK_BweN,Male,14741
8312,SuiGyoza,Male,269
8313,Gee_,Female,61
8314,AugustxPinup,Female,6045
8322,LittleEndu,Male,12477
8323,Utako-senpai,Female,2167
8325,OBruxo,Male,6675
8326,Tomoko-san,Female,2034']
8327,agness,Female,8795
8329,Phantasy_Starved,Male,37430
8330,thedeviousfiles,Female,13125
8331,daydr3am1ng,Female,918
8332,biskizz,Male,4672
8334,BASICALLYIDOWRK,Male,8675']
8335,Ochan19,Female,16498
8339,yvng_wonder,Male,13601
8340,BabyChaeng,Male,31245
8343,Nunnanation31,Male,4181
8345,AnikuGuroshima,Female,23283
8349,wallflower_,Female,11061
8350,shu-shu,Female,14713
8351,takakara_nomuro,Male,23605
8352,Foushy,Female,5835']
8353,lucluc222,Male,6045
8354,hippiechick8ify,Female,5060
8355,andredrezefilth,Male,33
8357,crystalcateyes,Female,5114
8358,katyvain,Female,322
8359,TunyVuny,Male,14813
8360,TheDoggoneGirl,Female,16498
8361,etherealharmony,Female,6702
8363,Adanadhel,Male,5081
8364,Airbent,Female,16664
8365,vidmakerlees,Male,20
8366,dawnblk,Female,4898
8367,Hyduk87,Male,4181
8368,spike12ify,Female,1210
8369,FideliusXIII,Male,6045
8370,hk17,Female,1222
8375,ChiisaiYume,Female,45
8377,chayito,Female,471
8378,Stachipopp,Female,3613
8379,Reksho,Male,6045
8380,Fureiya,Male,17074
8381,MadLane,Male,1575
8383,Konguras,Male,27775
8384,guiguiguiguigui,Male,790
8386,Shinsukichan,Male,552
8387,AtomicAnarchist,Male,33
8388,Vixen,Female,121
8390,karineyn,Female,120
8394,tazillo,Male,5114
8396,lexifey,Female,13125
8397,MeitanteiShakura,Female,21
8399,Lorelei,Male,50
8400,beanwantaburger,Female,849
8403,MrJears,Male,4224
8404,-_-Valen,Female,38524
8408,Hawkeye-,Male,31580
8411,KatsutoSaki,Male,918
8413,H31NST31N,Male,9253
8416,blindfremen,Male,30
8418,Imagineflame,Male,4654
8419,AZNsensation24,Male,11061
8420,taikuroki,Male,30276
8421,makise_kurisu_,Female,33206
8422,EpicSaxGuy,Male,19
8423,DJ_KhaledHentai,Non-Binary,11757
8424,Ayato-kun,Male,165']
8425,Khesi,Female,33206
8426,littlegiant9330,Male,5040
8428,Doku-Y,Male,32281
8429,Super_SaiyaRoci,Male,1254
8430,iloveallanime16,Female,6702
8431,FPSMYSTIC,Male,4898
8433,KingKenjo,Male,21
8435,Armistice,Female,853
8436,Miisaka10032,Female,223
8437,Eckat,Male,28977
8438,NabilAlMuhammad,Male,30276
8439,Playcool,Male,38329
8442,afflatus,Female,486
8445,rileytfindley,Female,20057
8447,addiction123,Female,2001
8450,LV-sensei,Female,22535
8452,Pokeralho,Male,1575
8453,Davi_Pendragon,Male,5114
8456,peachylux,Female,34933']
8458,ParzivaI_,Female,5114
8460,AndyhawkZ,Male,3588
8461,Its_pumpkin,Female,16498
8462,moonlight-ana,Female,21557
8463,_sk47_,Male,339
8465,LeonardoXD,Male,21
8467,Weebover9000,Male,38145
8470,Allenwalker07,Female,16498
8472,nottheplan,Male,23273
8473,animegurl62,Female,1571
8474,iiAnnie,Female,5680
8475,Nekomancer,Male,2167
8478,Uplah,Male,269
8480,Daishow,Female,853
8481,Mr_Bloody,Male,5337
8482,DemonicBunny3,Male,4181
8483,Xignorp_Topnut,Male,5114
8484,tamz_m,Female,2993
8485,MAL_Leon,Male,21
8487,SyntheticEngine,Male,33
8488,CharlieGolds,Male,199
8489,Saalfeld,Male,1559
8490,Raptor1221,Male,9756
8492,Alex_Res,Male,9253
8493,disliking,Male,5114
8495,Chopstick,Male,1689
8496,krizzz,Male,7674
8500,Antoinne,Male,33502
8501,OtakuDeity,Male,33206
8503,Kakita_Ookami,Male,5114
8507,ShiroNoYami,Male,24705
8508,Arka_otaku,Male,4181
8510,Loneninjah,Male,9989
8511,randomjack1010,Male,4181']
8513,Ripo,Female,488
8514,darkninja_loki,Male,1575
8515,Serenity_A7X,Male,6547
8516,AnimeFanFTW25,Male,33486
8517,MangakaFreak,Female,22057
8518,Raspeyer,Female,431
8519,bluefire1802,Male,19815
8520,RougeEtBlue,Female,859
8521,-Animewatcher-,Female,177
8522,HellshakeBrando,Male,7785
8523,inesDS,Female,759
8524,Cherry-tan,Female,23273
8525,Zelkiiro,Male,2001
8526,devilmaycrylover,Female,9130
8529,SparklingIvy,Female,31043']
8530,Bexxii_171611,Female,251
8531,shazbotian,Male,153
8532,blackcontractor,Male,889
8533,mikayla-chan,Female,18507
8534,Elvenerd,Female,11111
8536,Warlord_James,Male,820
8537,shotbyRevy,Female,150
8539,Jikishi,Female,57
8540,rosegirl06,Female,20507
8541,Jadymoo1994,Female,19815
8545,pedropinilla,Male,19
8547,burningkite,Female,21
8548,Uncandescent,Male,934
8549,DemonAngel4,Male,227']
8550,Ranko-chan,Female,210
8551,thewolfofanime,Female,666']
8554,DJM47,Male,20583
8555,JhosephCV,Male,1210
8557,UffeTheGreat,Male,30240
8558,5HAD0WFREAK,Male,21
8559,Akira_Veidt,Male,437
8560,revyshihoin,Female,9834
8563,Archfiend93,Male,467
8565,cateran100,Male,43
8566,Kuraigann,Male,2001
8567,allhailstuhrling,Male,22319
8569,BigKwell,Male,889
8572,welc16,Male,889
8574,gunslinger90,Male,6
8576,S1apSh0es,Male,30
8577,Project-Exodus,Male,4246
8579,rx780,Male,889
8580,JoshIsBeast,Male,6746
8581,Cecylb,Non-Binary,889
8582,Byrdman,Male,30
8583,sfk808,Male,57
8584,skjoldr-san,Male,32
8585,tarca7,Male,790
8586,TmlzTedy,Male,245
8587,SwordParty,Male,5114
8588,cr6zym0nkeyiz,Female,14751
8589,kamigeisha,Female,2923
8590,suddenlytanuki,Male,5114
8591,xanax-please,Female,10408
8592,ProbablyTsundere,Female,9922
8595,gabolla,Male,3784
8596,Aquarius99,Female,5114
8597,Myriadd,Male,5079
8598,Vexuq,Male,11617
8599,zombie7713,Male,226
8600,ShintakoInari,Female,2904
8601,Kamisama3102,Female,6702
8602,Beniyaji,Female,1535
8603,miyuki_mitsuko,Female,33352
8605,beccabear94,Female,232
8606,arienight,Female,14713
8608,KarlaFerns,Female,11061
8609,Ririchiyo-san,Female,9919
8611,TheBigGuy,Male,2167
8612,Otaku1412,Male,2963
8613,TomyAllen,Female,269
8614,InstaraCofe,Non-Binary,935
8615,mc2akapantless,Male,2966
8619,maha_amead,Female,11771
8620,Tyson_Weeb3,Male,22297
8623,Vincent_Lau,Male,25681
8624,Blue_Cake,Female,38000
8625,ouj-i,Female,14397
8626,Aonouta,Female,2154
8629,Grapesandraisin,Female,10408
8632,noxymus1,Male,19815
8633,nightcity,Male,26
8636,Murasa22,Male,17074
8637,rioyoki,Female,1575
8638,Shermstyle23,Male,889
8639,skulljoke90,Male,21
8640,Gothykins,Male,8795
8641,elusivemayfly,Male,6
8642,Ignopius,Male,9253
8643,Saki-not-Saki,Male,1852
8644,SuperArtNinja,Non-Binary,27539
8645,SugarCyanide,Female,15037
8646,hello_dani,Female,210
8647,Sumimasen,Female,5630
8649,DontPanicToktok,Female,14713
8650,MinoriDL,Female,523
8651,toph4prez,Male,2025
8652,gray-samaxlove,Female,6702
8653,AC9123,Female,33486
8654,jkalyana,Male,16782
8657,darkmeder,Female,249
8658,Amagai,Male,2251
8660,Hendo-chan,Male,21
8661,Richard-kun,Male,16498
8662,cordy_herondale,Female,1575
8667,Mse_Okumura,Non-Binary,39195
8668,patchofpeas,Male,23847
8669,littleboyorange,Male,2001
8670,3mantheGman,Male,18153
8672,MouradSME,Male,4081
8673,YoungVagabond,Male,3002
8674,CDR8516,Male,1
8675,Two-Hands,Male,889
8676,Skullsnack,Male,2963
8677,Sylenced1,Male,237
8678,jakachu,Female,19815
8679,ohfishall,Male,589
8680,Atharil,Male,849
8681,shakeyourpup45,Female,1391
8683,Wolpard,Non-Binary,5114']
8684,AngelYin,Female,16732
8685,KaamosWolf,Male,9065
8686,SnugglyWhuggly,Female,11061
8687,Yinitzu,Male,22199
8689,Luzifurr,Female,934
8690,Neuronymous,Male,777
8691,Bissen,Female,20431
8692,clickmaster,Male,23847
8696,Eureka_85,Female,45']
8697,vanillahobbit,Male,32
8700,yma981,Male,44
8701,AzuraTheCat,Female,5114
8702,AnastasiyaV,Female,13117
8703,ichibanne,Female,23755
8704,midnight_gem,Female,25013
8705,quercifolia,Female,10408
8706,LollipopXXX,Female,14713
8707,gamije,Female,6045
8708,Momo33,Female,16498
8709,KeiPyon,Female,22
8710,DeathByFloss,Female,777
8711,berserk-san,Female,13203
8712,Rea_Ling,Female,14513
8713,MisterGibbon,Male,820
8714,Yamada2,Male,7817
8715,NinjaMike28,Male,9253
8719,TheArchangel,Male,1210
8720,Aizen10,Male,5114
8722,LovelyTekki,Female,1854
8724,toshihime,Female,26243
8725,venusinfleursx,Female,30
8726,Toto_Senpai,Female,877
8728,MrSongbird,Male,13759
8731,orekihachiman,Male,34798
8733,DaFraZzle,Male,11061
8734,mal2012,Male,13759
8735,aberuwu,Male,30015
8737,mc093,Male,11741
8740,Cherry_Blossoms,Female,5680
8741,Milliuminator,Male,10165
8742,LouiseValierre,Female,1562
8743,Prezzix,Female,37171
8745,TheDeadServ,Male,145
8746,_Rika,Female,1698
8747,MagEarwhig,Male,153
8748,Somiboo,Female,19
8751,Helios33,Male,6
8752,lyuhak,Female,2251
8753,Seffir,Male,918
8754,forgo911,Male,237
8757,bennyaltuca,Male,10408
8758,DiLiNiTi,Male,392
8759,Persius,Male,9969
8760,dissipated,Male,22135
8761,yamuraaiha,Female,205
8762,GaryL,Male,437
8763,fatedblizzard,Male,851
8766,Alan1017,Male,1575
8767,idontwannapost,Male,14719
8768,Jequ,Female,13601
8769,BadabumBadabicch,Male,2251
8770,Aines445,Female,11843
8771,Aegair,Male,440
8772,interconnected-,Female,11061
8774,APH_Ruby,Female,33899
8775,Strawberrycake48,Female,11061
8776,Quiqui99,Female,7902
8778,JebusMatoi,Male,66
8779,Saltail,Female,36649
8780,Todoroqueen,Female,31964
8781,hyoriin,Female,31174
8785,Uiriamu,Male,235
8787,DK_Shotty9494,Male,28851
8788,watzitoya,Male,31646
8789,IchibanSenpai,Male,30015
8790,Russaal,Male,31716
8791,Cynthesizer,Male,7785
8792,KUNYIT,Male,11111
8793,CoquiEnthusiast,Male,32
8796,theunknownenemy,Male,5300
8797,RosyXkid,Female,4181
8799,lilgumba,Female,158
8800,kawaiimisato,Male,30
8802,Jin_Kaze_Tsukai,Female,161
8804,PuRe_ChAoS,Female,20785
8806,Spoogaloo,Male,3297
8808,Beobachter,Male,2471
8809,Natana,Female,120
8813,ninjacowboy,Male,22135
8815,Risu-chan14,Female,1313
8816,Sonic-Speed17,Male,15583
8817,CrazyAnimeFan,Male,8986']
8818,DubbedAnimeS,Male,6811
8819,Blasterboy11,Male,223
8822,Conica,Female,23423
8823,OtakuMangaGamer,Male,11061
8824,lolicontim666,Male,1887
8826,blaziken25,Female,30
8828,GreatS,Male,6702
8829,Ilxuss,Male,457
8834,loopuleasa,Male,23273
8837,Kagami,Male,3297
8839,Apercot,Male,33
8840,mikefromireland,Male,147
8842,Missywalker,Female,199
8843,iTofuu,Female,12189
8844,AliceMercy,Female,853
8845,kimiuo,Female,14227
8847,myeciz01,Female,74
8848,Merpo,Female,1485
8849,coocooformanga,Female,4898
8850,TheyLeaveShadows,Female,17074
8854,Chouquette,Female,2554
8855,HeyYouPikachu,Female,481
8858,thelectricow,Male,15335
8860,requiem,Female,226
8862,cognitohazard,Non-Binary,457
8863,ragre,Male,21
8864,reinis-jan,Male,1575
8865,Rimona,Female,1482
8867,sspatel_55,Male,21
8868,Jello,Female,584
8869,extrarice09,Male,1535
8870,Rethardus,Male,849
8871,RandomOugi,Male,457
8872,b4k4_de_arimasu,Male,1
8874,mugeninfinity,Male,21
8876,Tolnin,Male,223
8878,Illikas,Male,5507
8879,MazuraKameo129,Male,1535
8880,Sandgolem,Male,2605
8881,ligemeget,Male,11061
8883,Icy_Windbreeze,Female,4725
8884,GD3jr,Male,9253
8885,XanWasting,Male,19815
8886,otakuAshu2812,Female,7769
8887,ninetailedfoxie,Female,1735
8889,Sakura4-1-00,Female,232']
8890,SweetPink15,Female,146
8891,TropicalFrost,Male,9253
8893,SussQueen,Female,853
8894,OblivionXKnight,Male,269
8895,melancholy,Female,486
8896,laurlai,Female,1486
8897,Lillittes,Female,6114
8899,Damonashu,Male,1
8900,AviJii,Female,6547
8901,MRN3,Male,27775
8902,Aoiki,Female,6211
8904,Sohei,Male,43
8907,Vigrazzi,Male,1535
8908,Yemi_Hikari,Female,269
8909,rednekdashie,Male,19815
8910,DeathMaul,Male,1535
8911,risingangel90,Male,13601
8912,KravenErgeist,Male,30
8913,Farsiris,Female,341
8915,telerabies,Male,17909
8916,steinspass,Male,13601
8917,shiodomes,Male,433
8921,HonIntroversion,Male,1412
8922,AkaneKuromi,Female,19261
8923,Doragonized,Female,25013
8924,luvl12,Female,6033
8927,zelda95,Female,30
8928,Huy,Male,14527
8929,Raiyuno,Female,5114
8930,greg_cho,Male,2869
8934,DeliciousSuicide,Male,2904
8935,Chibirosie471,Female,249
8939,Utomneian,Male,2167
8941,AhiruArima,Female,1535
8942,CodeAnim3,Male,38000
8944,giomikass,Female,35838
8945,KimoForce,Male,5114
8950,lamammhd,Female,25013
8951,MunchyCcow,Female,21
8953,PoNaBo,Female,10161
8954,Ghostflame2153,Male,33352
8955,ScarletKW24,Female,31240
8957,izumichan37,Female,25013
8958,kneepa17,Male,10790
8959,iceflower700,Male,19815
8961,Blael,Male,30
8966,GummeBearz,Female,1571
8970,SeriinSakura,Female,249
8974,JazCo,Female,21
8975,zeemonaban10,Female,25517
8981,ackerbond,Female,4722
8982,IppoTheChamp,Male,4081
8983,sashihime,Female,17919
8984,smileehaley,Female,11061']
8985,districtClove,Female,6547
8986,AlmineKawaii48,Female,2034
8987,bossmann-dan,Male,11061
8991,Recynon,Male,467
8993,Sadporn,Female,10721
8994,LilMikasa,Female,13601
8996,Bukus,Male,35851
8998,annisaazhar,Female,5114
8999,fresh26564,Male,24833
9000,MeesterYellow,Male,10087
9001,JeM_apelleJEFF,Male,918
9003,Cassy0chan,Female,1698
9004,NeonLoveCookies,Female,2034']
9005,AnimeROXy,Female,5529
9006,southdkotaboy,Male,6974
9007,DeathsRightEye,Male,1
9008,ToraRosa,Female,585
9012,AnimePandaBird,Female,6045
9014,SketchingLies,Female,20507
9015,Leman00714,Male,6
9016,cuddlesaurusrex,Female,28223
9018,NJ_animeluvr,Male,269
9020,Dezzymandius,Female,74
9021,Fastaysi,Male,31478
9022,SenaIzumiChan,Female,11771
9023,Ktig88,Male,1
9030,some_nerd_idk,Male,35145
9031,Ennenn,Male,1
9032,Acrion54,Male,35330
9034,aprilmoon,Female,132
9035,kimchi18,Female,853
9038,charlytanne,Male,11061
9039,Romcom-Lover,Male,2034
9040,brisingr,Female,1575
9041,WiggleFreak,Female,6547
9042,boundtotomorrow,Female,249
9043,dj-flash,Male,1575
9044,vklolita,Female,6045
9045,Dangime,Male,5081
9046,Sylynoria,Female,21
9048,dumbdaisies,Female,11741
9050,Philipp-Nunes,Male,16498
9051,Lady_Day,Female,35062
9053,Ari99,Female,1482
9054,stanet96,Male,9253
9059,SirMarmelady,Male,38935
9060,aka-noodle,Male,7724
9061,Yasaman-San,Female,31240
9062,Megapoid,Male,9756
9063,EarlCain,Male,20
9064,list95,Male,11757
9066,Gods3rdEye,Female,202
9067,moefetish,Male,237
9070,entauri,Male,237
9072,amandaluvsya,Female,16498
9073,EUREKAvSEVEN,Male,237
9075,Prototape,Male,9253
9076,RoddoSenpai,Male,27775']
9077,ReverentStigma,Male,2034
9078,begogarcia_17,Female,28891
9079,captainploo,Male,855
9081,7of9fk,Female,120
9083,integra31,Female,16
9084,KameHime,Female,123
9085,IslaMBM,Female,11665
9086,koukaku,Female,11061
9087,sunrise110,Male,44
9089,Lulech23,Male,9253
9090,Mizuki_leo_07,Female,235
9092,Eucharis,Female,11285
9094,Fairytail_ghosts,Female,22319
9095,Suzariah,Female,36649
9098,attacuu,Male,36999
9099,m_alhafidz,Male,28
9100,Pike27,Male,5205
9101,Gameboon,Male,31859
9104,BlakDak666,Male,2001
9107,evemetalchick,Female,853
9111,tyn124,Non-Binary,16353
9112,SeaTactics,Male,2966']
9113,chammont,Male,57
9114,TehBoxman,Male,223
9115,Adipvpster,Male,23273
9118,Shae214,Female,202
9121,Lontaku,Male,237
9122,wintercarver,Male,431
9123,hoeze,Male,17074
9124,A1i0s,Male,9253
9127,Ravens_poet,Male,3712
9128,KurosuGemu,Male,4181
9129,r3cca,Female,2034
9130,Felix79,Male,263
9132,nico_wally,Female,11757
9133,staindwing,Male,1
9134,jadamikira,Male,357
9136,madclown,Male,2034']
9137,TheMutedNerd,Male,4081
9138,sembranosa,Female,2034
9139,Ventear,Male,9936
9143,Stanlick,Male,37521
9144,LittleDragonGirl,Female,10161
9145,Bikhal,Male,23273
9146,Anonymous_G,Female,25013']
9147,pixiesprout,Female,20583
9148,str4ng3r,Female,120
9149,Rayexx,Female,199
9150,AzurexSigh,Female,1482
9151,jepifish,Female,1
9152,hanalarene,Female,142
9153,erryn,Female,11061
9154,Rinnalen,Female,18115
9155,leahsllama,Female,25013
9156,MsMaggieChan,Female,523
9157,Kyory,Male,9756
9160,LifeGun,Male,37999
9162,CarpetHater,Male,37450
9164,ziggyzak3,Male,21
9166,AVKV,Male,44
9167,kaizer419,Male,6922
9169,rolandxi1,Male,12365
9170,TheExpeditionary,Male,4181
9171,Keporu,Male,11867
9173,Jupi-Jup,Male,14075
9174,Storm_blessed,Male,5114
9177,ChrisPBaken,Male,2001
9178,Kuriyami,Female,11061
9179,OtherGuyX,Male,263
9180,NiishiKamii,Female,2904
9182,smiley_,Female,1535
9184,wthkagehina,Female,2034
9186,minoki,Male,45
9188,whatthehell0008,Female,1535
9191,djthorpe10,Male,22043
9193,funicon,Male,1210
9195,Tinsel,Female,26055
9196,sheetapally,Female,32182
9199,pikachu2510,Female,21
9200,undomiel321,Female,205
9203,AvaiXterna,Female,17513
9204,cool-guy,Female,9756']
9205,FormX,Male,6547
9207,Hammock1488,Male,2001
9209,CCYamato,Male,232
9211,EdgyEcchiSenpai,Male,32979
9212,Malphiteeu,Male,34599
9213,stacithemess,Female,853
9214,CBCAnime,Female,12355
9215,b_squared,Male,1575
9217,z4yd,Male,237
9218,Gangoke,Male,237
9219,InfiniteJam,Male,5114
9221,Hound_of_Ulster,Male,467
9223,Bosch,Male,237
9224,Bostontex24,Male,4224
9225,tokyo_shorty,Female,237
9227,syk007,Male,37450
9228,Justinoooo,Male,237
9230,ImaCuteAnimeFan,Female,877
9232,Manaka_Hioryi,Female,10793
9234,DestroEclipse,Male,38000
9235,reneecm07,Female,45
9237,jcyui,Female,22
